Nama Kos,Lokasi,Fasilitas,Ratings,Harga per Bulan
Kost Taman Borobudur Indah,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,900000
Kost Pak Gozali Tipe A,Klojen,"Kasur, Akses 24 Jam",,650000
Kost Bunga Camalia 21 Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,550000
Kost Pak Andayani Gambar,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,700000
Kost Selorejo 55,Lowokwaru,"WiFi, Kasur",,600000
Kost Boy,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,700000
Kost Uti Mama Tipe A,Klojen,"K. Mandi Dalam, Kasur",,750000
Kost Oma,Lowokwaru,"WiFi, Kasur",,700000
Kost Ibu Yuni,Lowokwaru,"Kasur, Akses 24 Jam",,430000
Kost Monjau,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,750000
Kost Muslim Anam Tipe D,Klojen,"WiFi, Kasur, Akses 24 Jam",,700000
Kost Si Dewandaru,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,600000
Kost Yuni Simpang Gading,Klojen,"WiFi, Kasur, Akses 24 Jam",,425000
Kost Yellow Tipe B,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,850000
Kost Golden I Standart,Lowokwaru,"Kasur, Akses 24 Jam",,550000
Kost Griya Cahaya,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,850000
Kost Semanggi Timur 1 Tipe A,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,900000
Kost Borobudur Agung Timur Suhat Tipe B,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,800000
Kost Syariah Kertosentono,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,650000
Kost Candi Mendut Tipe A1,Lowokwaru,"K. Mandi Dalam, Kloset Duduk, Kasur, Akses 24 Jam",,900000
Kost Borobudur Utara,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,500000
Kost CMG Tipe Vip,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur",,900000
Kost Ilham Tipe Standard,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,580000
